,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,64,34,0.31,0.21,24.25,0.28,9.81,24.25,514,958,1.95,1,6.56
1,58,37,0.22,0.2,21.21,0.18,8.56,21.21,264,545,1.67,7,5.74
2,64,35,0.29,0.21,20.25,0.28,8.21,20.25,480,808,1.93,3,6.35
3,59,27,0.37,0.18,19.67,0.19,7.94,19.67,304,590,1.71,17,5.79
4,57,25,0.39,0.17,22.35,0.22,9.03,22.35,376,740,1.77,16,6.01
5,43,25,0.26,0.14,23.13,0.2,9.33,23.13,248,511,1.72,21,5.91
6,21,11,0.31,0.07,16.95,0.24,6.88,16.95,177,326,1.78,7,6.03
7,21,11,0.31,0.07,16.95,0.24,6.88,16.95,177,326,1.78,7,6.03
8,32,13,0.42,0.09,20.54,0.18,8.29,20.54,128,290,1.63,2,5.71
9,64,34,0.31,0.21,27.77,0.22,11.2,27.77,480,912,1.76,11,5.84
10,43,55,-0.12,0.21,20.13,0.23,8.14,20.13,443,857,1.79,1,5.97
11,32,23,0.16,0.12,21.93,0.28,8.88,21.93,326,561,1.91,10,6.38
12,33,29,0.06,0.13,18.14,0.23,7.35,18.14,284,561,1.76,6,6.0
13,55,24,0.39,0.17,28.53,0.19,11.49,28.53,323,627,1.69,32,5.74
14,58,20,0.49,0.16,21.01,0.22,8.49,21.01,356,660,1.8,11,6.05
15,24,0,1.0,0.05,24.24,0.29,9.81,24.24,147,241,1.93,0,6.31
16,76,39,0.32,0.24,265.0,0.19,106.08,265.0,350,671,1.67,15,5.71
17,17,0,1.0,0.04,17.51,0.26,7.11,17.51,197,338,1.81,0,6.05
18,15,5,0.5,0.04,18.07,0.29,7.34,18.07,211,340,1.92,1,6.39
19,0,3,-1.0,0.01,29.0,0.28,11.71,29.0,49,69,1.93,2,6.28
20,0,3,-1.0,0.01,29.0,0.28,11.71,29.0,49,69,1.93,2,6.28
21,24,69,-0.48,0.19,25.31,0.22,10.21,25.31,306,634,1.8,2,6.07
22,16,14,0.07,0.06,26.18,0.22,10.56,26.18,161,302,1.78,4,5.95
23,55,42,0.13,0.2,20.9,0.19,8.44,20.9,357,734,1.71,10,5.8
24,40,3,0.86,0.09,15.21,0.24,6.18,15.21,155,299,1.86,4,6.08
25,4,1,0.6,0.01,25.2,0.17,10.15,25.2,65,176,1.67,0,5.84
26,20,8,0.43,0.06,24.94,0.2,10.06,24.94,167,350,1.69,4,5.73
27,12,8,0.2,0.04,25.21,0.25,10.18,25.21,122,231,1.87,1,6.11
28,14,8,0.27,0.05,14.07,0.18,5.7,14.07,67,139,1.78,0,6.08
29,4,0,1.0,0.01,16.89,0.32,6.88,16.89,48,75,2.03,1,6.36
30,19,36,-0.31,0.12,15.35,0.16,6.2,15.35,131,315,1.59,19,5.54
31,5,2,0.43,0.01,19.56,0.15,7.88,19.56,27,68,1.64,1,5.61
32,37,10,0.57,0.1,20.7,0.28,8.39,20.7,188,342,1.94,0,6.52
33,1,7,-0.75,0.02,29.4,0.13,11.81,29.4,19,53,1.54,3,5.59
34,7,25,-0.56,0.07,19.84,0.15,8.0,19.84,57,128,1.62,6,5.53
